Address,0,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,0,liquidityAddedAt,0_market,Address_market,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap,RugCheck_Score,Risk_Status
6ypxuvheApoPNw52WrvaU3zxTJARwgLD8hALdFUhQmPV,,6ypxuvheApoPNw52WrvaU3zxTJARwgLD8hALdFUhQmPV,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,7.062839743651777e-05,7.062839743651777e-05,7.062839743651777e-05,7.062839743651777e-05,7.062839743651777e-05,7.062839743651777e-05,7.062839743651777e-05,7.062839743651777e-05,24,2024-11-30T12:06:28,1732968388,1,0.0011226830399986808,1489.5632362432843,1489.5632362432843,1489.5632362432843,1489.5632362432843,1489.5632362432843,1489.5632362432843,1489.5632362432843,1489.5632362432843,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:56:04,,6ypxuvheApoPNw52WrvaU3zxTJARwgLD8hALdFUhQmPV,0.0011226830399986808,23356.25349284819,999988141.346004,1122669.7264889623,999988141.346004,1122669.7264889623,84395.0,LOW RISK
FKuZ4SyrbKZu6br5LWWT9HwSLRt43UBCD93qriYGEWSc,,FKuZ4SyrbKZu6br5LWWT9HwSLRt43UBCD93qriYGEWSc,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,8.350998644736049e-05,8.350998644736049e-05,8.350998644736049e-05,8.350998644736049e-05,8.350998644736049e-05,8.350998644736049e-05,8.350998644736049e-05,8.350998644736049e-05,25,2024-11-30T12:05:50,1732968350,1,0.001163979914397913,1293.8212229642902,1293.8212229642902,1293.8212229642902,1293.8212229642902,1293.8212229642902,1293.8212229642902,1293.8212229642902,1293.8212229642902,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:55:40,,FKuZ4SyrbKZu6br5LWWT9HwSLRt43UBCD93qriYGEWSc,0.001163979914397913,23782.301180462924,999966280.1069,1163940.665119629,999966280.1069,1163940.665119629,82395.0,LOW RISK
2LkpEDcx2WzL3fntDRNi9MYmFJ5n8aaScsxZ5iF7Qx1g,,2LkpEDcx2WzL3fntDRNi9MYmFJ5n8aaScsxZ5iF7Qx1g,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,8.361112667510986e-05,8.361112667510986e-05,8.361112667510986e-05,8.361112667510986e-05,8.361112667510986e-05,8.361112667510986e-05,8.361112667510986e-05,8.361112667510986e-05,25,2024-11-30T12:04:22,1732968262,1,0.0011590371814902331,1286.2236135077296,1286.2236135077296,1286.2236135077296,1286.2236135077296,1286.2236135077296,1286.2236135077296,1286.2236135077296,1286.2236135077296,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:53:53,,2LkpEDcx2WzL3fntDRNi9MYmFJ5n8aaScsxZ5iF7Qx1g,0.0011590371814902331,23731.809346418966,999994754.171942,1159031.1013804663,999994754.171942,1159031.1013804663,82395.0,LOW RISK
EGrAZoLwv14zRjMC1NmSpaQucmm6bsBSomJisbrm6PaL,,EGrAZoLwv14zRjMC1NmSpaQucmm6bsBSomJisbrm6PaL,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,5.570006314565739e-05,5.570006314565739e-05,5.570006314565739e-05,5.570006314565739e-05,5.570006314565739e-05,5.570006314565739e-05,5.570006314565739e-05,5.570006314565739e-05,24,2024-11-30T12:03:47,1732968227,1,0.001120981088399918,1912.531090797003,1912.531090797003,1912.531090797003,1912.531090797003,1912.531090797003,1912.531090797003,1912.531090797003,1912.531090797003,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:53:34,,EGrAZoLwv14zRjMC1NmSpaQucmm6bsBSomJisbrm6PaL,0.001120981088399918,23338.730411849174,1000000000.0,1120981.088399918,1000000000.0,1120981.088399918,82395.0,LOW RISK
ut12RG3WkUZHQeMs4UqPwubHNA9RTL57weJAELVpwV4,,ut12RG3WkUZHQeMs4UqPwubHNA9RTL57weJAELVpwV4,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,4.850979189077278e-05,4.850979189077278e-05,4.850979189077278e-05,4.850979189077278e-05,4.850979189077278e-05,4.850979189077278e-05,4.850979189077278e-05,4.850979189077278e-05,25,2024-11-30T11:53:17,1732967597,1,0.0011582468444269513,2287.6557686227993,2287.6557686227993,2287.6557686227993,2287.6557686227993,2287.6557686227993,2287.6557686227993,2287.6557686227993,2287.6557686227993,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:42:49,,ut12RG3WkUZHQeMs4UqPwubHNA9RTL57weJAELVpwV4,0.0011582468444269513,23723.762097422314,1000000000.0,1158246.8444269511,1000000000.0,1158246.8444269511,82395.0,LOW RISK
6133HqVdTRK7okXuNcQ1v5e2GguMVQzzxVCvDbKyCNpj,,6133HqVdTRK7okXuNcQ1v5e2GguMVQzzxVCvDbKyCNpj,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,5.5747595711943e-05,5.5747595711943e-05,5.5747595711943e-05,5.5747595711943e-05,5.5747595711943e-05,5.5747595711943e-05,5.5747595711943e-05,5.5747595711943e-05,25,2024-11-30T11:52:32,1732967552,1,0.0011587603546144329,1978.5835511219861,1978.5835511219861,1978.5835511219861,1978.5835511219861,1978.5835511219861,1978.5835511219861,1978.5835511219861,1978.5835511219861,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:42:39,,6133HqVdTRK7okXuNcQ1v5e2GguMVQzzxVCvDbKyCNpj,0.0011587603546144329,23728.940991092608,1000000000.0,1158760.354614433,1000000000.0,1158760.354614433,82395.0,LOW RISK
31UwZf5FPp4m9TGYL8BPHQENSgm4AiQSCEfu2ZDamZEt,,31UwZf5FPp4m9TGYL8BPHQENSgm4AiQSCEfu2ZDamZEt,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,7.06819178347326e-05,7.06819178347326e-05,7.06819178347326e-05,7.06819178347326e-05,0.000479179005961301,7.06819178347326e-05,7.06819178347326e-05,7.06819178347326e-05,25,2024-11-30T11:41:54,1732966914,1,0.0011575524865259535,1537.6925272918108,1537.6925272918108,1537.6925272918108,1537.6925272918108,141.56995029524282,1537.6925272918108,1537.6925272918108,1537.6925272918108,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:31:56,,31UwZf5FPp4m9TGYL8BPHQENSgm4AiQSCEfu2ZDamZEt,0.0011575524865259535,23718.422946530674,1000000000.0,1157552.4865259535,1000000000.0,1157552.4865259535,82395.0,LOW RISK
5rrTgjBCd26eYK8yNXHXqxXWSQBvA1AWL5jFmM3aF71u,,5rrTgjBCd26eYK8yNXHXqxXWSQBvA1AWL5jFmM3aF71u,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,8.369546492448017e-05,8.369546492448017e-05,8.369546492448017e-05,8.369546492448017e-05,0.001164165116262114,8.369546492448017e-05,8.369546492448017e-05,8.369546492448017e-05,25,2024-11-30T11:35:50,1732966550,1,0.001164165116262114,1290.953640454187,1290.953640454187,1290.953640454187,1290.953640454187,0,1290.953640454187,1290.953640454187,1290.953640454187,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:25:53,,5rrTgjBCd26eYK8yNXHXqxXWSQBvA1AWL5jFmM3aF71u,0.001164165116262114,23785.841061839543,999977850.806745,1164139.3309439733,999977850.806745,1164139.3309439733,82395.0,LOW RISK
H4beVZmNTqfraXsaFYyLUgUYmHG2skyS1htRkMLgUVdB,,H4beVZmNTqfraXsaFYyLUgUYmHG2skyS1htRkMLgUVdB,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,5.5752559832774564e-05,5.5752559832774564e-05,5.5752559832774564e-05,5.5752559832774564e-05,0.0011589681082287005,5.5752559832774564e-05,5.5752559832774564e-05,5.5752559832774564e-05,25,2024-11-30T11:33:51,1732966431,1,0.0011589681082287005,1978.7711124026134,1978.7711124026134,1978.7711124026134,1978.7711124026134,0,1978.7711124026134,1978.7711124026134,1978.7711124026134,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:23:35,,H4beVZmNTqfraXsaFYyLUgUYmHG2skyS1htRkMLgUVdB,0.0011589681082287005,23732.97433863712,999917547.622258,1158872.5485524498,999917547.622258,1158872.5485524498,82395.0,LOW RISK
9Zg9d1xy7wJDtpvPVyLFSCVKNpvt6JRbe2UPzwBWAXBx,,9Zg9d1xy7wJDtpvPVyLFSCVKNpvt6JRbe2UPzwBWAXBx,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,7.067574954148045e-05,7.067574954148045e-05,7.067574954148045e-05,7.067574954148045e-05,0.0011572600128069198,7.067574954148045e-05,7.067574954148045e-05,7.067574954148045e-05,25,2024-11-30T11:29:56,1732966196,1,0.0011572600128069198,1537.4216337496498,1537.4216337496498,1537.4216337496498,1537.4216337496498,0,1537.4216337496498,1537.4216337496498,1537.4216337496498,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,0,,0,,,,0,,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 11:20:05,,9Zg9d1xy7wJDtpvPVyLFSCVKNpvt6JRbe2UPzwBWAXBx,0.0011572600128069198,23715.47103903674,1000000000.0,1157260.0128069199,1000000000.0,1157260.0128069199,82395.0,LOW RISK
