datetime,address,c,h,l,o,type,v
2024-10-25 21:40:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,8.425748485602792e-05,0.00011965926127782587,4.436017953872996e-05,7.081417065411903e-05,5m,1245233146.2341208
2024-10-25 21:45:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,3.1154536322863575e-05,9.407609149698106e-05,3.1154536322863575e-05,8.425748485602792e-05,5m,543880977.9414893
2024-10-25 21:50:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,2.5778612912014368e-05,3.918920215573847e-05,2.3546238005127828e-05,3.1154536322863575e-05,5m,461783460.835657
2024-10-25 21:55:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,3.879405520264163e-05,3.9645607495811005e-05,2.5728650494217948e-05,2.5778612912014368e-05,5m,856575699.5197557
2024-10-25 22:00:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,4.2059879304248234e-05,4.808470447764238e-05,3.812661647202915e-05,3.879405520264163e-05,5m,616758208.0853415
2024-10-25 22:05:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,2.9338810733810912e-05,4.4698544028297656e-05,2.891360333139655e-05,4.2059879304248234e-05,5m,687049376.770043
2024-10-25 22:10:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,2.9658797876147855e-05,3.472001367365206e-05,2.87717284327252e-05,2.9338810733810912e-05,5m,802330201.7001185
2024-10-25 22:15:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,3.575208251208642e-05,3.622211281686738e-05,2.8659352083872634e-05,2.9658797876147855e-05,5m,784923558.2238955
2024-10-25 22:20:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,3.9435918523542786e-05,4.891530900397731e-05,3.5441530741367984e-05,3.575208251208642e-05,5m,609412619.7872541
2024-10-25 22:25:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,3.4357463510284194e-05,4.648811770061969e-05,3.4357463510284194e-05,3.9435918523542786e-05,5m,536334333.43034095
2024-10-25 22:30:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,3.962367417306963e-05,4.018986293986423e-05,3.4248085481448784e-05,3.4357463510284194e-05,5m,428653533.4334037
2024-10-25 22:35:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,3.126031216501898e-05,4.0255587200645475e-05,2.748695001212833e-05,3.962367417306963e-05,5m,501231810.139206
2024-10-25 22:40:00,6dC8y49qqogktNvnYecEszwuDAgkVsj19UP7dziZpump,2.6492361912097675e-05,3.126031216501898e-05,2.4406694685821064e-05,3.126031216501898e-05,5m,407171059.1608673
